soln,region
"[2027, 2045, 2023, 2059, 1978, 2011]",Northern Ireland
"[2027, 2045, 2023, 2059, 1990, 1987]",Northern Ireland
"[2027, 2045, 2023, 2059, 2006, 1980]",Northern Ireland
"[2027, 2045, 2023, 2010, 1978, 2076]",Northern Ireland
"[2027, 2045, 2023, 2078, 1980, 2004]",Northern Ireland
"[2027, 2045, 2023, 2078, 1985, 1996]",Northern Ireland
"[2027, 2045, 2023, 2016, 2012, 1980]",Northern Ireland
"[2027, 2045, 2023, 2016, 2076, 1977]",Northern Ireland
"[2027, 2049, 2057, 1998, 2005, 1987]",Northern Ireland
"[2027, 2049, 2057, 2019, 1979, 2011]",Northern Ireland
"[2027, 2049, 2057, 2019, 1991, 1987]",Northern Ireland
"[2027, 2049, 2057, 2023, 1978, 2011]",Northern Ireland
"[2027, 2049, 2057, 2023, 1990, 1987]",Northern Ireland
"[2027, 2049, 2057, 2023, 2006, 1980]",Northern Ireland
"[2027, 2049, 2072, 1980, 2004, 2023]",Northern Ireland
"[2027, 2049, 2072, 1985, 2053, 1995]",Northern Ireland
"[2027, 2049, 2072, 1985, 1996, 2023]",Northern Ireland
"[2027, 2049, 2072, 1985, 2013, 1998]",Northern Ireland
