pairing,Conservative,Labour,Liberal Democrat,Brexit party,Democratic Unionist Party,Sinn Fein,Social Democratic & Labour Party,Alliance,Ulster Unionist Party,Scottish National Party,Green,Plaid Cymru
135,3,1,0,0,0,0,0,0,0,0,0,0
136,3,1,0,0,0,0,0,0,0,0,0,0
137,3,1,0,0,0,0,0,0,0,0,0,0
138,4,0,0,0,0,0,0,0,0,0,0,0
139,4,0,0,0,0,0,0,0,0,0,0,0
140,3,1,0,0,0,0,0,0,0,0,0,0
141,2,1,1,0,0,0,0,0,0,0,0,0
142,4,0,0,0,0,0,0,0,0,0,0,0
143,3,1,0,0,0,0,0,0,0,0,0,0
144,4,0,0,0,0,0,0,0,0,0,0,0
145,3,1,0,0,0,0,0,0,0,0,0,0
146,3,1,0,0,0,0,0,0,0,0,0,0
147,3,1,0,0,0,0,0,0,0,0,0,0
148,3,0,1,0,0,0,0,0,0,0,0,0
149,3,1,0,0,0,0,0,0,0,0,0,0
150,3,1,0,0,0,0,0,0,0,0,0,0
151,4,0,0,0,0,0,0,0,0,0,0,0
152,3,1,0,0,0,0,0,0,0,0,0,0
153,3,1,0,0,0,0,0,0,0,0,0,0
154,3,1,0,0,0,0,0,0,0,0,0,0
155,4,0,0,0,0,0,0,0,0,0,0,0
156,3,0,1,0,0,0,0,0,0,0,0,0
157,3,0,1,0,0,0,0,0,0,0,0,0
158,4,0,0,0,0,0,0,0,0,0,0,0
159,3,1,0,0,0,0,0,0,0,0,0,0
160,3,1,0,0,0,0,0,0,0,0,0,0
161,3,1,0,0,0,0,0,0,0,0,0,0
162,3,1,0,0,0,0,0,0,0,0,0,0
163,4,0,0,0,0,0,0,0,0,0,0,0
164,4,0,0,0,0,0,0,0,0,0,0,0
165,3,1,0,0,0,0,0,0,0,0,0,0
166,3,1,0,0,0,0,0,0,0,0,0,0
167,3,1,0,0,0,0,0,0,0,0,0,0
168,3,1,0,0,0,0,0,0,0,0,0,0
169,3,1,0,0,0,0,0,0,0,0,0,0
